1,47130
2,72612
3,98094
4,123576
5,149058
6,174540
7,200022
8,225504
9,250986
10,276468
11,301950
12,327432
13,352914
14,378396
15,403878
16,429360
17,454842
18,480324
19,505806
20,531288
21,556770
22,582252
23,607734
24,633216
25,658698
26,684180
27,709662
28,735144
29,760626
30,786108
31,811590
32,837072
33,862554
34,888036
35,913518
36,939000
37,964482
38,989964
39,1015446
40,1040928
41,1066410
42,1091892
43,1117374
44,1142856
45,1168338
46,1193820
47,1219302
48,1244784
49,1270266
50,1295748
51,1321230
52,1346712
53,1372194
54,1397676
55,1423158
56,1448640
57,1474122
58,1499604
59,1525086
60,1550568
61,1576050
62,1601532
63,1627014
64,1652496
65,1677978
66,1703460
67,1728942
68,1754424
69,1779906
70,1805388
71,1830870
72,1856352
73,1881834
74,1907316
75,1932798
76,1958280
77,1983762
78,2009244
79,2034726
80,2060208
81,2085690
82,2111172
83,2136654
84,2162136
85,2187618
86,2213100
87,2238582
88,2264064
89,2289546
90,2315028
91,2340510
92,2365992
93,2391474
94,2416956
95,2442438
96,2467920
97,2493402
98,2518884
99,2544366
100,2569848
